text,label,clean_text,tokens,label_encoded
Nothing happens when I click the 'Submit' button.,technical_issue,nothing happens when i click the submit button,"['happens', 'click', 'submit', 'button']",4
This update is exactly what we needed. Well done!,praise,this update is exactly what we needed well done,"['update', 'exactly', 'needed']",2
Would be awesome to have dark mode for emails.,feature_request,would be awesome to have dark mode for emails,"['awesome', 'dark', 'mode', 'emails']",1
My ticket has been open for two weeks with no reply.,complaint,my ticket has been open for two weeks with no reply,"['ticket', 'open', 'weeks', 'reply']",0
Is there a way to preview before sending?,question,is there a way to preview before sending,"['way', 'preview', 'sending']",3
The app shows incorrect timezone for meetings.,technical_issue,the app shows incorrect timezone for meetings,"['app', 'shows', 'incorrect', 'timezone', 'meetings']",4
I love how intuitive everything feels now.,praise,i love how intuitive everything feels now,"['love', 'intuitive', 'feels']",2
"Add export option to Excel, not just PDF.",feature_request,add export option to excel not just pdf,"['add', 'export', 'option', 'excel', 'pdf']",1
Customer service agent was rude and unhelpful.,complaint,customer service agent was rude and unhelpful,"['customer', 'service', 'agent', 'rude', 'unhelpful']",0
How many users can I add to my team?,question,how many users can i add to my team,"['users', 'add', 'team']",3
The forgot password link doesn’t work.,technical_issue,the forgot password link doesnt work,"['forgot', 'password', 'link', 'nt', 'work']",4
Big thanks for rolling out requested features!,praise,big thanks for rolling out requested features,"['big', 'thanks', 'rolling', 'requested', 'features']",2
It would help if reports had a drill-down option.,feature_request,it would help if reports had a drilldown option,"['help', 'reports', 'drilldown', 'option']",1
I never received the setup guide you promised.,complaint,i never received the setup guide you promised,"['received', 'setup', 'guide', 'promised']",0
How can I see what’s included in each plan?,question,how can i see whats included in each plan,"['s', 'included', 'plan']",3
Login fails with a ‘server error’ message.,technical_issue,login fails with a server error message,"['login', 'fails', 'server', 'error', 'message']",4
The latest version is so much faster!,praise,the latest version is so much faster,"['latest', 'version', 'faster']",2
Can you allow saving drafts before sending?,feature_request,can you allow saving drafts before sending,"['allow', 'saving', 'drafts', 'sending']",1
I’m frustrated with the constant downtime.,complaint,im frustrated with the constant downtime,"['m', 'frustrated', 'constant', 'downtime']",0
Is phone support available for enterprise users?,question,is phone support available for enterprise users,"['phone', 'support', 'available', 'enterprise', 'users']",3
The video tutorial won’t play on mobile.,technical_issue,the video tutorial wont play on mobile,"['video', 'tutorial', 'wo', 'nt', 'play', 'mobile']",4
Appreciate how fast you responded to the bug report.,praise,appreciate how fast you responded to the bug report,"['appreciate', 'fast', 'responded', 'bug', 'report']",2
Please allow connecting multiple email accounts.,feature_request,please allow connecting multiple email accounts,"['allow', 'connecting', 'multiple', 'email', 'accounts']",1
The chat support is not helpful at all.,complaint,the chat support is not helpful at all,"['chat', 'support', 'helpful']",0
Can I get a certificate for my completed course?,question,can i get a certificate for my completed course,"['certificate', 'completed', 'course']",3
The system doesn’t recognize my credentials.,technical_issue,the system doesnt recognize my credentials,"['system', 'nt', 'recognize', 'credentials']",4
Really liked the live Q&A session you hosted!,praise,really liked the live qa session you hosted,"['liked', 'live', 'qa', 'session', 'hosted']",2
Feature idea: auto-categorize tasks by priority.,feature_request,feature idea autocategorize tasks by priority,"['feature', 'idea', 'autocategorize', 'tasks', 'priority']",1
My refund request was ignored.,complaint,my refund request was ignored,"['refund', 'request', 'ignored']",0
Where can I report bugs or suggestions?,question,where can i report bugs or suggestions,"['report', 'bugs', 'suggestions']",3
Why does it say ‘invalid token’ during login?,technical_issue,why does it say invalid token during login,"['invalid', 'token', 'login']",4
Massive improvement over last year’s version!,praise,massive improvement over last years version,"['massive', 'improvement', 'years', 'version']",2
Please allow toggling between monthly/yearly billing.,feature_request,please allow toggling between monthlyyearly billing,"['allow', 'toggling', 'monthlyyearly', 'billing']",1
I keep getting irrelevant notifications.,complaint,i keep getting irrelevant notifications,"['getting', 'irrelevant', 'notifications']",0
Can you explain how your pricing tiers work?,question,can you explain how your pricing tiers work,"['explain', 'pricing', 'tiers', 'work']",3
The browser version of the app is broken.,technical_issue,the browser version of the app is broken,"['browser', 'version', 'app', 'broken']",4
Super impressed with the new mobile UI.,praise,super impressed with the new mobile ui,"['super', 'impressed', 'new', 'mobile', 'ui']",2
I want to be able to tag feedback items.,feature_request,i want to be able to tag feedback items,"['want', 'able', 'tag', 'feedback', 'items']",1
Very unprofessional support team response.,complaint,very unprofessional support team response,"['unprofessional', 'support', 'team', 'response']",0
Is there any training provided for new users?,question,is there any training provided for new users,"['training', 'provided', 'new', 'users']",3
Settings reset every time I close the browser.,technical_issue,settings reset every time i close the browser,"['settings', 'reset', 'time', 'close', 'browser']",4
Great job on keeping performance smooth!,praise,great job on keeping performance smooth,"['great', 'job', 'keeping', 'performance', 'smooth']",2
Please enable collaboration with external users.,feature_request,please enable collaboration with external users,"['enable', 'collaboration', 'external', 'users']",1
Still haven’t heard back from technical support.,complaint,still havent heard back from technical support,"['nt', 'heard', 'technical', 'support']",0
How do I integrate this with Slack?,question,how do i integrate this with slack,"['integrate', 'slack']",3
The notifications are not syncing across devices.,technical_issue,the notifications are not syncing across devices,"['notifications', 'syncing', 'devices']",4
Nice touch with the recent design refresh!,praise,nice touch with the recent design refresh,"['nice', 'touch', 'recent', 'design', 'refresh']",2
Allow users to prioritize their feedback in-app.,feature_request,allow users to prioritize their feedback inapp,"['allow', 'users', 'prioritize', 'feedback', 'inapp']",1
Your app doesn't work on Android 13.,technical_issue,your app doesnt work on android,"['app', 'nt', 'work', 'android']",4
Super responsive to customer feedback!,praise,super responsive to customer feedback,"['super', 'responsive', 'customer', 'feedback']",2
Can we get a Kanban-style board for tasks?,feature_request,can we get a kanbanstyle board for tasks,"['kanbanstyle', 'board', 'tasks']",1
No confirmation email for password reset.,complaint,no confirmation email for password reset,"['confirmation', 'email', 'password', 'reset']",0
Can I access my data after canceling?,question,can i access my data after canceling,"['access', 'data', 'canceling']",3
My attachments don’t upload correctly.,technical_issue,my attachments dont upload correctly,"['attachments', 'nt', 'upload', 'correctly']",4
Brilliant improvements in usability lately!,praise,brilliant improvements in usability lately,"['brilliant', 'improvements', 'usability', 'lately']",2
I’d like to reorder dashboard widgets.,feature_request,id like to reorder dashboard widgets,"['d', 'like', 'reorder', 'dashboard', 'widgets']",1
Why are your response times so inconsistent?,complaint,why are your response times so inconsistent,"['response', 'times', 'inconsistent']",0
Where is your team located?,question,where is your team located,"['team', 'located']",3
Your login process needs more flexibility.,technical_issue,your login process needs more flexibility,"['login', 'process', 'needs', 'flexibility']",4
Your product really helped my small business!,praise,your product really helped my small business,"['product', 'helped', 'small', 'business']",2
Please provide public API documentation.,feature_request,please provide public api documentation,"['provide', 'public', 'api', 'documentation']",1
My data was wiped after reinstalling the app.,complaint,my data was wiped after reinstalling the app,"['data', 'wiped', 'reinstalling', 'app']",0
Do you offer a sandbox environment?,question,do you offer a sandbox environment,"['offer', 'sandbox', 'environment']",3
I can’t upload CSV files anymore.,technical_issue,i cant upload csv files anymore,"['nt', 'upload', 'csv', 'files', 'anymore']",4
I love how the app saves my place automatically!,praise,i love how the app saves my place automatically,"['love', 'app', 'saves', 'place', 'automatically']",2
Can we get email templates for replies?,feature_request,can we get email templates for replies,"['email', 'templates', 'replies']",1
Support redirected me multiple times with no help.,complaint,support redirected me multiple times with no help,"['support', 'redirected', 'multiple', 'times', 'help']",0
Where can I find the FAQ section?,question,where can i find the faq section,"['find', 'faq', 'section']",3
My notifications are delayed by hours.,technical_issue,my notifications are delayed by hours,"['notifications', 'delayed', 'hours']",4
Fantastic design and UX. Congrats!,praise,fantastic design and ux congrats,"['fantastic', 'design', 'ux', 'congrats']",2
Allow auto-categorizing based on keywords.,feature_request,allow autocategorizing based on keywords,"['allow', 'autocategorizing', 'based', 'keywords']",1
My free trial ended without warning.,complaint,my free trial ended without warning,"['free', 'trial', 'ended', 'warning']",0
Can I recover deleted feedback items?,question,can i recover deleted feedback items,"['recover', 'deleted', 'feedback', 'items']",3
Auto-save doesn’t seem to work consistently.,technical_issue,autosave doesnt seem to work consistently,"['autosave', 'nt', 'work', 'consistently']",4
App navigation is much simpler now. Love it!,praise,app navigation is much simpler now love it,"['app', 'navigation', 'simpler', 'love']",2
Let us customize our login screen branding.,feature_request,let us customize our login screen branding,"['let', 'customize', 'login', 'screen', 'branding']",1
Your escalation process takes too long.,complaint,your escalation process takes too long,"['escalation', 'process', 'takes', 'long']",0
How can I contact your team directly?,question,how can i contact your team directly,"['contact', 'team', 'directly']",3
